animal,ds_type,video_id,segment_id,start_time,end_time,total_time,interacting_object,video_path
cat,train,23a9179f590e9e0510e8c6762d0794df490418e47dae6615b19579f6c517519e,1,0:00,0:14,14,other animal,training_set/edited_23a9179f590e9e0510e8c6762d0794df490418e47dae6615b19579f6c517519e/edited_23a9179f590e9e0510e8c6762d0794df490418e47dae6615b19579f6c517519e_segment_1.mp4
cat,train,23b3acbe65329385e6e349c4da5d0d4ffae3fa7382ef9f6a58850c989a136537,6,0:00,0:03,18,filament,training_set/edited_23b3acbe65329385e6e349c4da5d0d4ffae3fa7382ef9f6a58850c989a136537/edited_23b3acbe65329385e6e349c4da5d0d4ffae3fa7382ef9f6a58850c989a136537_segment_6.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,1,0:00,0:10,51,cat,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_1.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,2,NONE,NONE,21,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_2.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,4,NONE,NONE,18,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_4.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,5,NONE,NONE,58,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_5.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,6,NONE,NONE,12,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_6.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,7,NONE,NONE,7,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_7.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,8,NONE,NONE,7,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_8.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,9,NONE,NONE,25,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_9.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,10,NONE,NONE,8,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_10.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,11,NONE,NONE,31,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_11.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,12,NONE,NONE,15,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_12.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,13,NONE,NONE,87,NONE,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_13.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,14,0:00,0:31,31,food,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_14.mp4
cat,train,23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c,15,0:00,0:20,20,food,training_set/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c/edited_23cd1233584fc70c89602236d3ec9c7f0c7891645afe826b0d70c7a43ace769c_segment_15.mp4
